"id","title","authors","year","venue","doi_or_official_url","deep_review","code_url","method_family","pa_type","carrier_GHz","bandwidth_MHz","sample_rate_Msps","waveform","dataset_or_setup","training_method","feedback_or_adaptation","nmse_dB","evm","aclr_acpr","papr","model_size","inference_cost","bit_width","hardware_evidence","physical_pa_evidence","limitations","project_applicability","directly_comparable_to_OpenDPDv2","evidence_class","nrmse_percent","nmse_scope","spectral_scope_and_convention"
"D040","SparseDPD: A Sparse Neural Network-Based Digital Predistortion FPGA Accelerator for RF Power Amplifier Linearization","Manno Versluis; Yizhuo Wu; Chang Gao","2025","FPL 2025","https://doi.org/10.1109/FPL68686.2025.00031","yes","https://github.com/MannoVersluis/SparseDPD","pruned PNTDNN; QAT","3.5 GHz GaN Doherty physical capture","3.5","20","not reported","64-QAM","172035 measured samples; 60/20/20; surrogate cascade","QAT 400 epochs plus six pruning rounds","offline; OpenDPD surrogate score","-48.2 surrogate","-54.0 dB surrogate","-59.4 dBc surrogate","not reported","64 stored parameters; 74% zeros","72 reported operations/sample","Q1.13 inputs/weights/activations; Q2.27 output","Zynq-7Z010 post-implementation simulation; 170 MS/s; 66 DSP; 13 BRAM; 405 mW estimated","no physical cascade measurement; physical capture only","one seed; unstructured zero needs zero-skipping","hardware-oriented comparator; do not label physical RF result","no","physical-data/surrogate+hardware-post","not reported","surrogate cascade","surrogate cascade; negative dBc absolute ACPR"
"D041","DeltaDPD: Exploiting Dynamic Temporal Sparsity in Recurrent Neural Networks for Energy-Efficient Wideband Digital Predistortion","Yizhuo Wu; Yi Zhu; Kun Qian; Qinyu Chen; Anding Zhu; John Gajadharsing; Leo C. N. de Vreede; Chang Gao","2025","IEEE Microwave and Wireless Technology Letters","https://doi.org/10.1109/LMWT.2025.3565004","yes","not reported","DeltaGRU temporal sparsity","GaN Doherty","3.5","200","983.04","TM3.1a 256-QAM OFDM","physical DPD; surrogate training","AdamW 200 epochs through surrogate","physical final measurement; thresholded state updates","-37.22 at 52% sparsity","-38.52 dB","-50.03 dBc","not reported","573 parameters","589 MUL; 2005 ADD; 710 memory accesses/sample","not reported","7 nm 6.41 nJ estimated; not silicon","yes","average sparsity waveform-dependent; worst-case not guaranteed","temporal-sparse neural reference","no","physical-DPD+hardware-post","not reported","physical cascade","physical cascade; negative dBc absolute ACPR"
"D042","MP-DPD: Low-Complexity Mixed-Precision Neural Networks for Energy-Efficient Digital Predistortion of Wideband Power Amplifiers","Yizhuo Wu; Ang Li; Mohammadreza Beikmirza; Gagan Deep Singh; Qinyu Chen; Leo C. N. de Vreede; Morteza Alavi; Chang Gao","2024","IEEE Microwave and Wireless Technology Letters","https://doi.org/10.1109/LMWT.2024.3386330","yes","not reported","mixed-precision GRU DPD","40 nm digital PA measured dataset","2.4","160","640","4 x 40 MHz 1024-QAM OFDM","491520 samples; 60/20/20; surrogate training/evaluation","Adam 100 epochs","frozen surrogate","not reported","FP32 -38.46 dB; W16A16 -38.72; W12A12 -37.45","FP32 L/R -43.36/-45.30; W16A16 -43.75/-45.27; W12A12 -42.36/-43.79","10.38 dB","502 parameters","502 MUL; 1417 ADD; 506 memory/sample plus FP32 features","FP32; W16A16; W12A16; W12A12; W8A8","7 nm energy model; no silicon","physical source data; DPD score via surrogate","not physical DPD proof","operation/quantization accounting reference","no","physical-data/surrogate+hardware-post","not reported","measured-data/surrogate evaluation","measured-data/surrogate evaluation; negative dBc absolute left/right ACPR"
"D043","OpenDPDv2: A Unified Learning and Optimization Framework for Neural Network Digital Predistortion","Yizhuo Wu; Ang Li; Chang Gao","2025","arXiv preprint","https://arxiv.org/abs/2507.06849","yes","https://github.com/lab-emi/OpenDPD","TRes-DeltaGRU; E2E DLA","3.5 GHz GaN Doherty","3.5","200","983.04","TM3.1a 5 x 40 MHz 256-QAM OFDM","98304 samples; 60/20/20; physical final measurement","AdamW 240 epochs through frozen PA; validation ACPR selection","physical final measurement","-39.6","-42.1 dB","average -59.9 dBc","10.01 dB at stated CCDF","999 trainable parameters","1324 paper FLOP/sample; not real-MUL count","FP32; W16A16; W12A12 ablations","gem5 ARM/7 nm energy model; no fabricated accelerator","yes","left/right ACPR and calibration time not published; temporal sparsity cost incomplete","primary apples-to-apples target only if same APA setup/checkpoint","reference","physical-DPD+hardware-post","not reported","physical final cascade","physical final cascade; negative dBc average ACPR"
"D044","DPD-NeuralEngine: A 22-nm 6.6-TOPS/W/mm² Recurrent Neural Network Accelerator for Wideband Power Amplifier Digital Pre-Distortion","Ang Li; Haolin Wu; Yizhuo Wu; Qinyu Chen; Leo C. N. de Vreede; Chang Gao","2025","ISCAS 2025","https://doi.org/10.1109/ISCAS56072.2025.11043563","yes","not reported","GRU accelerator; QAT","physical GaN Doherty about 40 dBm","not reported","80 RF experiment; 60 in hardware table","not reported","64-QAM OFDM","physical RF data plus ASIC post-layout","QAT 300 epochs","offline training","not reported","-39.8 dB","-45.3 dBc","8.2 dB","502 parameters","1026 operations/sample","W12A12 Q2.10","GF22FDX post-layout; 2 GHz; 250 MS/s; 7.5 ns; 195 mW; 0.2 mm2","physical RF result; accelerator not fabricated","60/80 MHz ambiguity; post-layout is not silicon","hardware Pareto reference","no","physical-DPD+hardware-post","not reported","physical cascade","physical cascade; negative dBc absolute ACPR"
"D045","Low Complexity Neural Network Digital Predistortion of Wideband Power Amplifiers Through Feature Selection","Cel Thys; Rodney Martinez Alonso; Ali H. Alsarraf; Dominique Schreurs; Sofie Pollin","2026","arXiv preprint","https://arxiv.org/abs/2607.15441","yes","dataset DOI https://doi.org/10.48804/306IIM","LASSO/MRMR feature-selected residual PNN","ADL9006 and second 15 GHz PA","15","100","1280","single-carrier 64-QAM RRC","physical FR3 DUT1/DUT2; 33/33/33","ILA; 321200 offline features; LASSO then MRMR","physical final remeasurement","98-coeff inverse validation -35.3823","98-coeff 1.38%; 650-coeff 1.08%","98-coeff worst -43.8113; no DPD -33.0857; 650-coeff -41.8760","not reported","98; 344; 650 selected coefficient points","407; 939; 1768 FLOP/sample; offline search excluded","not reported","none reported","yes for DUT1 final table","fresh preprint; huge calibration dictionary; arbitrary real I/Q terms","strongest immediate sparse-feature competitor","no","physical-DPD","not reported","inverse-model validation; physical final spectrum reported separately","physical final cascade; negative dBc worst ACLR; no-DPD reference shown"
"D046","OwnDPDLab: A Flexible Open-Source Testbed for Wideband DPD Algorithm Benchmarking","Marvin Jaeger; Philipp Luetke; David Kopyto; Georg Frederik Riemschneider; Omar Jabi; Alexander Koelpin","2026","arXiv preprint","https://arxiv.org/abs/2607.11612","no","https://github.com/MarvinJaegerIng/OwnDPDLab","open physical DPD testbed; MP; ARVTDNN","Mini-Circuits ZHL-42-SMA with RFSoC 4x2","0.9; 3.9152","196.608 demonstration; platform instantaneous bandwidth 983.04","983.04 baseband; 4915.2 ADC/DAC","256-QAM OFDM","200000-sample physical first- and second-Nyquist-zone demonstrations","ILA-style inverse fit; LS MP; trained ARVTDNN; Optuna topology search","physical observation feedback","zone 1 no DPD -24.47; MP -47.29; ARVTDNN -46.28 dB; zone 2 -19.95/-35.38/-35.80 dB","zone 1 no DPD 5.98%; MP 0.43%; ARVTDNN 0.49%; zone 2 10.06%/1.70%/1.62%","zone 1 no DPD -41.75; MP -52.52; ARVTDNN -52.47 dBc; zone 2 -44.97/-49.33/-49.53 dBc","not reported","MP 30/18 coefficients; ARVTDNN 17474/3074 parameters for zones 1/2","full real-operation count not reported; MP has far fewer coefficients than ARVTDNN","not reported","RFSoC 4x2; 4.9152 GS/s converters; physical replay/observation; open client, PS code and PL bitstream","yes","very recent preprint; topology optimized on recorded data; different PA/operating points across Nyquist zones; parameter count is not runtime","future reproducible physical benchmark option","no","physical-DPD+hardware-real","not reported","physical cascade","physical cascade; negative dBc absolute ACLR; one summary value per zone"
"D047","Novel Parallel-Processing-Based Hardware Implementation of Baseband Digital Predistorters for Linearizing Wideband 5G Transmitters","Hai Huang; Jingjing Xia; Slim Boumaiza","2020","IEEE Transactions on Microwave Theory and Techniques","https://doi.org/10.1109/TMTT.2020.2993236","yes","not reported","parallel pruned CRV/GMP hardware","physical 28 GHz PA/array","28","400; also wider OTA case","2400 throughput for 400 MHz signal","5G waveform","physical PA plus ZCU102","model extraction and pruning","physical feedback","not reported","-39.2 dB in cited own setup","-44.7 dBc in cited own setup","not reported","about 36 coefficients in contextual table","regular parallel datapath; paper-specific count","fixed point; exact format paper-specific","ZCU102 real FPGA; 2.4 GS/s; 300 MHz; about 0.96 W","yes","different PA and cost convention","strong hardware-real throughput anchor","no","physical-DPD+hardware-real","not reported","not reported","paper-specific; see aclr_acpr cell; do not numerically merge across rows"
"D048","Reducing Power Consumption of Digital Predistortion for RF Power Amplifiers Using Real-Time Model Switching","Yue Li; Xiaoyu Wang; Anding Zhu","2022","IEEE Transactions on Microwave Theory and Techniques","https://doi.org/10.1109/TMTT.2021.3132347","no","not reported","decision-tree branch/model switching","physical PA","not reported","not reported","not reported","wideband varying operation","physical PA and FPGA","conditional branch training","per-sample decision tree routing","not reported","not reported","published physical RF evidence; exact unified row not reused","not reported","multiple stored coefficient sets; one branch active","router plus one active branch","fixed-point/FPGA paper-specific","physical FPGA/power evidence","yes","switching/control and stored-bank cost; different setup","direct prior to conditional expert execution","no","physical-DPD+hardware-real","not reported","not reported","paper-specific; see aclr_acpr cell; do not numerically merge across rows"
"D049","Bandwidth-Scalable Digital Predistortion of Active Phased Array Using Transfer Learning Neural Network","Feridoon Jalili; Felice Francesco Tafuri; Ole Kiel Jensen; Qingyue Chen; Ming Shen; Gert F. Pedersen","2023","IEEE Access","https://doi.org/10.1109/ACCESS.2023.3242648","no","not reported","transfer-learning adapter plus frozen TDNN","4 x 4 active phased array OTA","sub-6 training; upconverted to 28","20-100","not reported","wideband OTA waveform","physical OTA APA","pretrain 20 MHz backbone; fit small added layer","limited-sample adaptation","not reported","100 MHz improvement 8.6 percentage points","100 MHz ACLR improvement 8.5 dB","not reported","frozen backbone plus 1x16 adapter","160 MUL is added layer only; frozen backbone must also execute","not reported","physical OTA","yes","headline 199168 to 160 is not full inference reduction","calibration adapter prior, not cheap fast path","no","physical-DPD","not reported","not reported","paper-specific; see aclr_acpr cell; do not numerically merge across rows"
"D050","Continual Learning Digital Predistortion of RF Power Amplifier for 6G AI-Empowered Wireless Communication","Yucheng Yu; Peng Chen; Xiao-Wei Zhu; Jianfeng Zhai; Chao Yu","2022","IEEE Transactions on Microwave Theory and Techniques","https://doi.org/10.1109/TMTT.2022.3210199","no","not reported","continual-learning neural DPD","physical Doherty PA","not reported","multiple bandwidths","not reported","multiple power/waveform states","physical multi-state setup","continual retention/transfer/merge","state changes and recalibration","not reported","not reported","not reported","not reported","network plus stored regime information","not reported","not reported","physical measurement","yes","exact full table not available in open text; deployed cheapness not proved","slow control-plane and forgetting prior","no","physical-DPD","not reported","not reported","not reported"
"D051","Gated Dynamic Neural Network Model for Digital Predistortion of RF Power Amplifiers With Varying Transmission Configurations","Chengye Jiang; Guichen Yang; Renlong Han; Jingchao Tan; Falin Liu","2023","IEEE Transactions on Microwave Theory and Techniques","https://doi.org/10.1109/TMTT.2023.3241612","no","not reported","GDNN; sparse configuration gating","physical Doherty","not reported","varying bandwidth","not reported","varying power; bandwidth; PAPR","physical multi-configuration setup","configuration-conditioned neural training","dynamic sparse gates","not reported","not reported","not reported","varied","not reported","reported runtime reduction over 50% with small quality loss; exact target-normalized schedule not recovered","not reported","physical measurement","yes","generic conditioning already prior art","hypernetwork/gating comparator","no","physical-DPD","not reported","not reported","not reported"
"D052","Digital Predistortion of RF Power Amplifiers Robust to a Wide Temperature Range and Varying Peak-to-Average Ratio Signals","Gautam Jindal; Gavin T. Watkins; Kevin Morris; Tommaso A. Cappello","2022","IEEE Transactions on Microwave Theory and Techniques","https://doi.org/10.1109/TMTT.2022.3175155","yes","not reported","temperature-aware DPD; thermal state sensitivity","10 W GaN-on-SiC class-B","3.75","multiple; not consolidated here","not reported","PAPR 6-12 dB","physical 20-80 C setup","temperature model plus DPD","temperature-conditioned recalibration","not reported","not reported","temperature-aware ACPR 1-4 dB better than temperature-unaware model","6-12 dB","not reported","one-pole thermal model plus DPD; exact common cost not reported","not reported","physical measurement","yes","temperature sensor/model required; not current dataset","slow-state evidence","no","physical-DPD","thermal-state model below 7%","thermal-state model; not cascade DPD NMSE","physical cascade; positive relative ACPR improvement versus temperature-unaware DPD"
"D053","Linearisation of Radio Frequency Power Amplifiers Exhibiting Memory Effects Using Direct Learning-Based Adaptive Digital Predistortion","Neha Dawar; Tushar Sharma; Ramzi Darraji; Fadhel M. Ghannouchi","2016","IET Communications","https://doi.org/10.1049/iet-com.2015.1048","no","not reported","adaptive direct-learning MP","physical PA","not reported","20","not reported","LTE","power and bias changes","adaptive DLA","feedback adaptation","not reported","not reported","not reported","not reported","MP-dependent","not reported","not reported","physical measurement","yes","exact tables inaccessible; different setup","simple adaptive baseline","no","physical-DPD","not reported","not reported","not reported"
"D054","Self-Sensing Digital Predistortion of RF Power Amplifiers for 6G Intelligent Radio","Yucheng Yu; Jialin Cai; Xiao-Wei Zhu; Peng Chen; Chao Yu","2022","IEEE Microwave and Wireless Components Letters","https://doi.org/10.1109/LMWC.2021.3139018","no","not reported","self-sensing/adaptive DPD","physical PA","not reported","not reported","not reported","wideband waveform","physical setup","state sensing plus DPD adaptation","feedback/state observation","not reported","not reported","not reported","not reported","not reported","not reported","not reported","physical measurement","yes","details not normalized to project cost","observer/controller prior","no","physical-DPD","not reported","not reported","not reported"
"D055","A Modular 1D-CNN Architecture for Real-Time Digital Pre-Distortion","Udara De Silva; Toshiaki Koike-Akino; Rui Ma; Ao Yamashita; Hideyuki Nakamizo","2022","IEEE PAWR 2022","https://doi.org/10.1109/PAWR53092.2022.9719754","no","not reported","modular 1D-CNN","hardware-in-loop physical setup","not reported","not reported","not reported","wideband modulated","physical/HIL setup","neural training","offline","not reported","not reported","not reported","not reported","not reported","CNN-dependent","not reported","real-time/HIL evidence","yes/HIL","exact causality and project-normalized cost not reported","causal-CNN comparator after verification","no","physical-DPD+hardware-real","not reported","not reported","not reported"
"D056","Residual Neural Networks for Digital Predistortion","Yibo Wu; Ulf Gustavsson; Alexandre Graell i Amat; Henk Wymeersch","2020","arXiv preprint","https://arxiv.org/abs/2005.05655","no","not reported","R2TDNN residual neural DPD","physical PA","not reported","not reported","not reported","wideband waveform","physical setup","residual backpropagation","offline/physical measurement","not reported","not reported","better NMSE/ACPR than compared NNs at similar/lower complexity in paper","not reported","architecture-dependent","dense residual network; exact common count not reported","not reported","physical measurement","yes","different setup and no fixed point","direct prior to tiny residual network","no","physical-DPD","not reported","not reported","paper-specific; see aclr_acpr cell; do not numerically merge across rows"
"D057","Efficient Attention Guided 5G Power Amplifier Digital Predistortion","Alexandru Cioba; Alvin Chua; Da-shan Shiu; Ting-Hsun Kuo; Chia-Sheng Peng","2020","arXiv preprint","https://arxiv.org/abs/2003.13361","no","not reported","AGMPNN; amplitude-offset MP experts; attention","5G PA capture","not reported","not reported","not reported","5G waveform","measured captures; inverse-fit emphasis","Adam; exhaustive architecture search","ILA; per-sample soft routing","inverse NMSE up to 3.5 dB better than RVFTDNN","not reported","not reported","not reported","100-600 parameter budget; 43L+51 cited form","parameter proxy excludes softmax/nonlinear and exact RF cascade","not reported","none reported","physical-cascade status not demonstrated clearly","inverse-fit result and soft-routing cost","MoE/structured-attention prior","no","uncertain","not reported","paper-specific; see evidence and dataset fields","not reported"
"D058","Symbol-Based Over-the-Air Digital Predistortion Using Reinforcement Learning","Yibo Wu; Jinxiang Song; Christian Häger; Ulf Gustavsson; Alexandre Graell i Amat; Henk Wymeersch","2021","arXiv preprint","https://arxiv.org/abs/2111.11923","no","not reported","symbol-based RL DPD","GMP plus AWGN simulation","not reported","not reported","not reported","symbol waveform","simulation","reinforcement learning","OTA reward/simulation","not reported","not reported","not reported","not reported","policy-dependent","training/sample cost high; not reported as target kernel","not reported","none","no","simulation and exploration safety","RL comparator only","no","simulation","not reported","not reported","not reported"
"D059","Low-Complexity Sub-Band Digital Predistortion for Spurious Emission Suppression in Noncontiguous Spectrum Access","Mahmoud Abdelaziz; Lauri Anttila; Chance Tarver; Kaipeng Li; Joseph R. Cavallaro; Mikko Valkama","2016","IEEE Transactions on Microwave Theory and Techniques","https://doi.org/10.1109/TMTT.2016.2602208","yes","not reported","sub-band IM3/IM5/IM7 DPD; NLMS/decorrelation","commercial LTE-A mobile PA","not reported","3/5 MHz carriers; 20/40 MHz spacing","not reported","noncontiguous LTE-A","+25 dBm physical setup","sample NLMS and block decorrelation","physical feedback","not reported","not reported","over 20 dB suppression for target ninth-order IM3 case","not reported","fixed subband dictionary","low-complexity targeted basis; exact common count not reported","not reported","physical measurement","yes","specialized to specified subbands","direct spectral-target loss/adaptation prior","no","physical-DPD","not reported","not reported","paper-specific; see aclr_acpr cell; do not numerically merge across rows"
"D060","OpenDPD: An Open-Source End-to-End Learning & Benchmarking Framework for Wideband Power Amplifier Modeling and Digital Pre-Distortion","Yizhuo Wu; Gagan Deep Singh; Mohammadreza Beikmirza; Leo C. N. de Vreede; Morteza Alavi; Chang Gao","2024","ISCAS 2024","https://doi.org/10.1109/ISCAS58744.2024.10558162","no","https://github.com/lab-emi/OpenDPD","open end-to-end neural DPD framework; DGRU","40 nm CMOS digital transmitter capture","2.4","200","800","10 x 20 MHz OFDM","OpenDPD DPA_200MHz; five seeds","PA surrogate then end-to-end DPD training","surrogate gradient plus final physical measurement","DGRU DPD -41.85 +/-0.51 dB through surrogate","measured -35.22 +/-0.38 dB","measured ACPR L/R -44.69 +/-0.57 / -44.47 +/-0.27 dBc","not reported","DGRU 486 parameters","model-dependent; complete real-operation count not reported","not reported","software framework","yes; final ACPR/EVM measured on physical transmitter","NMSE is surrogate-mediated while ACPR/EVM are final measured values; framework metrics are not automatically physical","project baseline provenance","no","physical-DPD","not reported","surrogate cascade; physical ACPR/EVM reported separately","physical final cascade; negative dBc absolute left/right ACPR"
"D061","Power Amplifier Predistortion Using Reduced Sampling Rates in the Forward and Feedback Paths","Serien Ahmed; Majid Ahmed; Souheil Bensmida; Oualid Hammi","2024","Sensors","https://doi.org/10.3390/s24113439","no","not reported","reduced-rate forward/feedback DPD","physical PA","not reported","not reported","reduced sampling studied","wideband waveform","physical setup","model extraction","reduced-rate feedback","not reported","not reported","not reported","not reported","not reported","sampling/filtering cost trade-off","not reported","physical measurement","yes","metric and PA differ; alias/filter requirements","observation-path and rate-reduction prior","no","physical-DPD","not reported","not reported","not reported"
"D062","GaN Power Amplifier Digital Predistortion by Multi-Objective Optimization for Maximum RF Output Power","Mattia Mengozzi; Gian Piero Gibiino; Alberto M. Angelotti; Corrado Florian; Alberto Santarelli","2021","Electronics","https://doi.org/10.3390/electronics10030244","no","not reported","multi-objective DPD optimization","physical GaN PA","not reported","not reported","not reported","wideband waveform","physical setup","multi-objective optimization","physical evaluation","not reported","not reported","published output-power/linearity trade-off; exact row not reused","not reported","model-dependent","optimization/calibration separate from deployed path","not reported","physical measurement","yes","different objectives/setup; no common operation budget","spectral/main-power constrained optimization prior","no","physical-DPD","not reported","not reported","paper-specific; see aclr_acpr cell; do not numerically merge across rows"
"D063","Walsh-Domain Neural Network for Power Amplifier Behavioral Modelling and Digital Predistortion","Cel Thys; Rodney Martinez Alonso; Antoine Lhomel; Maxandre Fellmann; Nathalie Deltimple; Francois Rivet; Sofie Pollin","2024","ISCAS 2024","https://doi.org/10.1109/ISCAS58744.2024.10557970","no","not reported","Walsh-domain NN; knowledge distillation","physical PA data; surrogate/model evaluation","not reported","not reported","not reported","Walsh/IQ waveform","D-band modeled/measured setup described by paper","cross-domain distillation","offline teacher-student","not reported","not reported","KD improves Walsh ACLR about 3 dB in reported setup","not reported","network-dependent","not reported","not reported","post-layout/model context; not physical closed cascade","not direct physical proof","different domain; no physical closed cascade","distillation mechanism prior","no","physical-data/surrogate","not reported","not reported","paper-specific; see aclr_acpr cell; do not numerically merge across rows"
"D064","Time vs. Frequency Domain DPD for Massive MIMO: Methods and Performance Analysis","Yibo Wu; Ulf Gustavsson; Mikko Valkama; Alexandre Graell i Amat; Henk Wymeersch","2024","arXiv preprint","https://arxiv.org/abs/2402.16577","no","not reported","time/frequency-domain DPD; massive MIMO","modeled array/PA","not reported","not reported","not reported","MIMO waveform","simulation","offline optimization","simulated feedback","not reported","not reported","not reported","not reported","not reported","not reported","not reported","none","no","simulation and array-specific","frequency-selective research context","no","simulation","not reported","not reported","not reported"
"D065","Dynamic Selection and Estimation of the Digital Predistorter Parameters for Power Amplifier Linearization","Quynh Anh Pham; Gabriel Montoro; David Lopez-Bueno; Pere L. Gilabert","2019","IEEE Transactions on Microwave Theory and Techniques","https://doi.org/10.1109/TMTT.2019.2923186","yes","not reported","PCA-DPLS; dynamic max-correlation update","Cree CGH35030F class-J GaN","0.875","80 aggregate","not reported","4 x 20 MHz 64-QAM FC-FBMC","28 dBm physical setup","offline OMP then dynamic component update","feedback adaptation","PCA-DPLS -40.35; no DPD -18.6","PCA-DPLS 1.17%; no DPD 5.73%","PCA-DPLS -49.33; no DPD -36.35 dBc","about 13 dB","GMP 322 to 100 forward coefficients; 1-10 estimated per update","adaptation O(NML+M^2+ML) with L << M; forward remains 100 coefficients","not reported","physical measurement","yes","main saving is adaptation path, not deployed DPD","closest dynamic residual-correlation prior","no","physical-DPD","not reported","paper-specific; see evidence and dataset fields","paper-specific; see aclr_acpr cell; do not numerically merge across rows"
"D066","Power Adaptive Digital Predistortion for Wideband RF Power Amplifiers With Dynamic Power Transmission","Yan Guo; Chao Yu; Anding Zhu","2015","IEEE Transactions on Microwave Theory and Techniques","https://doi.org/10.1109/TMTT.2015.2480739","no","not reported","power-adaptive DPD","physical PA","not reported","not reported","not reported","dynamic-power waveform","physical power-changing setup","adaptive coefficients","power-state feedback","not reported","not reported","not reported","not reported","not reported","not reported","not reported","physical measurement","yes","different PA and no common cost","operating-point adaptation prior","no","physical-DPD","not reported","not reported","not reported"
"D067","Digital Predistortion of Millimeter-Wave Hybrid Beamforming Transmitters Using Observation Receivers With Low-Bit Resolution Analog-to-Digital Converter","Ahmed Ben Ayed; Eric Ng; Patrick Mitran; Slim Boumaiza","2021","IEEE Access","https://doi.org/10.1109/ACCESS.2021.3096978","yes","not reported","low-bit observation receiver; hybrid array DPD","four 64-element mmWave subarrays","28","up to 800","not reported","OFDM","physical hybrid-beamforming setup","DPD extraction with analog anti-beamforming observation","low-bit feedback ADC","not reported","5.8% to about 1.6% with 4-bit observation","about 10 dB ACPR improvement with 4-bit observation","not reported","model-dependent","deployed DPD plus observation; exact fast-path count not reported","4-bit versus 16-bit observation ADC","physical array measurement","yes","specialized observation architecture","supports slow/low-resolution controller path","no","physical-DPD","not reported","not reported","paper-specific; see aclr_acpr cell; do not numerically merge across rows"
"D068","Fixed Point Considerations for Digital Predistortion of an RF Power Amplifier Using Recursive Least Square Estimation","R. Neil Braithwaite","2019","IEEE PAWR 2019","https://doi.org/10.1109/PAWR.2019.8708729","no","not reported","fixed-point RLS DPD","RF PA experiment; full classification paper-specific","not reported","not reported","not reported","modulated waveform","authors' setup","RLS","adaptive feedback","not reported","not reported","not reported","not reported","coefficient count not consolidated","RLS covariance O(C^2) calibration","fixed-point formats studied; details in paper","hardware/fixed-point study","experiment reported","short conference; no common target timing","fixed-point adaptive-calibration reference","no","uncertain","not reported","not reported","not reported"
"D069","Local and Remote Digital Pre-Distortion for 5G Power Amplifiers with Safe Deep Reinforcement Learning","Christian Spano; Damiano Badini; Lorenzo Cazzella; Matteo Matteucci","2025","Sensors","https://doi.org/10.3390/s25196102","yes","not reported","safe DDPG coefficient adaptation; recovery","1 W broadband GaAs PA 27-32 GHz","about 28","400","not reported","5G NR OFDM; PAPR about 10 dB","Huawei Milan Research Center hardware test","CRE-DDPG; 2000 episodes","ACLR safety threshold; reverse stored actions for recovery","not reported","not reported","improvement begins around 850 updates; 25 runs safe/improved by no later than 950; exact final universal ACLR not reused","about 10 dB","controller about 530k parameters; deployed MP coefficient action","controller slow-path cost high; deployed MP path separate","not reported","Huawei hardware test; TDD/dummy path proposed for exploration","yes","memory effects/GMP/temperature future work; hundreds of physical updates","mandatory safe-update comparator","no","physical-DPD","not reported","not reported","physical safe-adaptation trajectory; no universal final ACLR reused"
"D070","Augmented Iterative Learning Control for Neural-Network-Based Joint Crest Factor Reduction and Digital Predistortion of Power Amplifiers","Siqi Wang; Morgan Roger; Julien Sarrazin; Caroline Lelandais-Perrault","2020","IEEE Transactions on Microwave Theory and Techniques","https://doi.org/10.1109/TMTT.2020.3011152","no","not reported","augmented ILC; joint CFR/DPD neural fit","physical PA","not reported","not reported","not reported","high-PAPR waveform","physical setup","ILC teacher plus neural fit","repeated feedback","not reported","not reported","not reported","CFR objective included","teacher plus student","calibration heavy; student-dependent","not reported","physical measurement","yes","repeatable waveform and joint objective complicate comparison","teacher-student and peak-control prior","no","physical-DPD","not reported","not reported","not reported"
"X071","HyperNetworks","David Ha; Andrew Dai; Quoc V. Le","2016","arXiv preprint","https://arxiv.org/abs/1609.09106","no","not applicable","hypernetwork","not applicable","not applicable","not applicable","not applicable","sequence/image ML","general ML benchmarks","gradient training","weight generation","not applicable","not applicable","not applicable","not applicable","model-dependent","generator plus target network","floating point in source","general ML only","no","no DPD/physical PA evidence","slow coefficient generator concept only","no","general-method","not reported","not applicable","not reported"
"X072","Outrageously Large Neural Networks: The Sparsely-Gated Mixture-of-Experts Layer","Noam Shazeer; Azalia Mirhoseini; Krzysztof Maziarz; Andy Davis; Quoc Le; Geoffrey Hinton; Jeff Dean","2017","arXiv preprint","https://arxiv.org/abs/1701.06538","no","not applicable","sparse mixture of experts","not applicable","not applicable","not applicable","not applicable","language/model benchmarks","general ML","gradient top-K routing","conditional computation","not applicable","not applicable","not applicable","not applicable","very large stored experts","router plus selected experts","floating point source","general ML","no","not RF; expert bandwidth/routing radically different","mechanism only; DPD MoE already has direct priors","no","general-method","not reported","not applicable","not reported"
"X073","LoRA: Low-Rank Adaptation of Large Language Models","Edward J. Hu; Yelong Shen; Phillip Wallis; Zeyuan Allen-Zhu; Yuanzhi Li; Shean Wang; Lu Wang; Weizhu Chen","2021","arXiv/ICLR","https://arxiv.org/abs/2106.09685","no","not applicable","low-rank adaptation","not applicable","not applicable","not applicable","not applicable","language models","general ML","low-rank update training","offline/task adaptation","not applicable","not applicable","not applicable","not applicable","rank-dependent","two low-rank projections in addition to frozen matrix","floating point source","general ML","no","for tens of DPD coefficients LoRA may cost more than direct update","only empirical low-rank coefficient subspace is relevant","no","general-method","not reported","not applicable","not reported"
"X074","Distilling the Knowledge in a Neural Network","Geoffrey Hinton; Oriol Vinyals; Jeff Dean","2015","arXiv preprint","https://arxiv.org/abs/1503.02531","no","not applicable","knowledge distillation","not applicable","not applicable","not applicable","not applicable","classification benchmarks","general ML","teacher-student training","offline teacher","not applicable","not applicable","not applicable","not applicable","teacher/student-dependent","student cost only at inference","not applicable","general ML","no","no RF evidence; DPD-specific distillation rows provide direct evidence","calibration mechanism","no","general-method","not reported","not applicable","not reported"
"X075","Efficiently Modeling Long Sequences with Structured State Spaces","Albert Gu; Karan Goel; Christopher Ré","2021","arXiv/ICLR","https://arxiv.org/abs/2111.00396","no","not applicable","S4 structured state space","not applicable","not applicable","not applicable","not applicable","sequence benchmarks","general ML","gradient training","recurrent/convolutional duality","not applicable","not applicable","not applicable","not applicable","state dimension dependent","full S4 kernel/recurrent cost model-specific","floating point source","general ML","no","not DPD and full architecture too heavy","motivates small stable diagonal state ablation","no","general-method","not reported","not applicable","not reported"
